act_id,agent,action,act_object,act_target,start,end,site_information,discussion,source,page,commentary,note,id_lang,created,created_by,last_modified,last_modified_by
A00001,AG0062,AT01,W0002,,1973,1973,,A student was criticized while reading this American textbook in public. The author takes this book as an example of how volatile the attitude towards studying English was even/especially (?) at the East China Normal University’s Foreign Languages Department in 1973. She also states that it was forbidden to listen to foreign broadcasting stations or to foreigners in general. So the only way listening to English was the  single official radio station broadcasting in English.,W0418,196f,,not sure whether the reading took place in SP0011 (see discussion),en,2017-07-12,OS,2020-12-09,MG
A00002,AG0103,AT01,W0003,,1972,1976,SP0055,mentions it among others as an important reading for him and his zhiqing fellows,W0421,581,,,en,2017-07-12,OS,2020-12-09,MG
A00003,AG0017,AT01,W0414,,1968,1978,SP0011,mentions it among others as an important reading for the whole development in the field of literature after 1978,W0422,219,unknown work by: AG0076 G10,,en,2017-07-12,OS,2020-12-09,MG
A00004,AG0105,AT01,W0004,,1972,1975,,Xu Xiao read Ticket to the Stars and was very much influenced by it,W0424,381,,,en,2017-07-12,OS,2020-04-04,DP
A00005,AG0014,AT02,W0004,AG0105,1972,1975,,Zhao Yifan copied Ticket to the Stars and handed it to Xu Xiao,W0424,381,,,en,2017-07-12,OS,2020-04-04,DP
A00006,AG0106,AT04,W0005,,1969,1969,SP0436,Shu Ting wants to go to Gorkys Universities during her rustication,W0425,300,,,en,2017-07-19,LH,2020-12-09,MG
A00007,AG0020,AT04,W0005,,1966,1976,,Gao Hua mentions that during the turmoil years of CR  as a son of heiwulei (five black categories) he was  living at the bottom of the society.  He received supercilious looks and was discriminated against. During these hard times My Apprenticeship and My Universities by Gorky became his spiritual guides.,W0420,133,,,en,2017-07-19,LH,2020-04-04,DP
A00008,AG0009,AT01,W0007,,1966,19XX,,They started reading neibu books before rustication time already. Kafkas Trial was among the most influential neibu books for Bei Dao,W0423,80,,,en,2017-07-19,OS,2020-04-04,DP
A00009,AG0014,AT03,W0009,AG0105,1966,1970?,,Zhao Yifan gave the book as a shouchaoben to Xu Xiao,W0424,381,,,en,2017-07-25,MG,2020-04-04,DP
A00010,AG0113,AT04,W0010,,1971,1971,,He cited a story that Lu Xun once wrote to Xu Guangping about a tiger. To be or not to be and  not to surrender to the evilness and enemy became his motto.,W0426,ONLINE SOURCE,,,en,2017-07-27,LH,2020-04-04,DP
A00011,AG0103,AT01,W0009,,1968,1974,SP0055,The author found the book left by two educated youth from other unit. So he hid in his dorm reading it for the reason of illness and starved all through.,W0419,574,,,en,2017-07-28,MG,2020-12-09,MG
A00012,AG0115,AT01,W0009,,1968,1968,SP0156,The author read this banned book and thought Marxs works explains better than this one.,W0471,422,,,en,2017-07-28,MG,2020-12-09,MG
