person_id,family_name,first_name,name_lang,sex,rustication,rustication_start,rustication_end,place_of_rust,birthyear,deathyear,alt_name,alt_name_lang,place_of_birth,social_position,narrative_age,neibu_access,source_1,page_1,source_2,page_2,fictionality,narrative_status,commentary,note,created,created_by,last_modified,last_modified_by
P0001,Lu,Xun,en,male,NULL,NULL,NULL,NULL,1881,1936,Zhou Shuren,en,PL0045,,,NULL,https://en.wikipedia.org/wiki/Lu_Xun,ONLINE SOURCE,,,,,,,2017-07-03,LH,2018-01-16,OS
P0001,鲁,迅,zh,male,NULL,NULL,NULL,NULL,1881,1936,周树人,zh,PL0045,,,NULL,https://en.wikipedia.org/wiki/Lu_Xun,ONLINE SOURCE,,,,,,,2017-07-03,LH,2018-01-16,OS
P0002,Mou,Dunbai,en,male,yes,1968,unknown,PL0008,1947,,,,,,,,SS00045,18 24,http://club.kdnet.net/dispbbs.asp?id=2621201&boardid=2&page=6&uid=&usernames=&userids=&action=,ONLINE SOURCE,,,,,2017-07-05,LH,2018-01-26,WH
P0002,牟,敦白,zh,male,yes,1968,unknown,PL0008,1947,,,,,,,,SS00045,18 24,http://club.kdnet.net/dispbbs.asp?id=2621201&boardid=2&page=6&uid=&usernames=&userids=&action=,ONLINE SOURCE,,,,,2017-07-05,LH,2018-01-25,WH
P0003,Zhang,Langlang,en,male,no,NULL,NULL,NULL,1943,,,,PL0021,S03,,yes,SS00011,75f 79f,http://history.sina.com.cn/bk/wgs/2013-09-03/144052895.shtml,ONLINE SOURCE,,,张仃的儿子 . 母亲陈布文，姐姐陈乔乔、大哥张耿军、弟弟张大伟、张寥寥、张沛沛。,,2017-07-05,LH,2018-10-25,DP
P0003,张,朗朗,zh,male,no,NULL,NULL,NULL,1943,,,,PL0021,S03,,yes,SS00011,75f 79f,http://history.sina.com.cn/bk/wgs/2013-09-03/144052895.shtml,ONLINE SOURCE,,,张仃的儿子 . 母亲陈布文，姐姐陈乔乔、大哥张耿军、弟弟张大伟、张寥寥、张沛沛。,,2017-07-05,LH,2018-10-25,DP
P0004,Mang,Ke,en,male,yes,1969,unknown,PL0022,1950,,Jiang Shiwei,en,PL0020,,,,SS00011,75f 79f,SS00115,183ff,,,,,2017-07-05,LH,2018-01-25,WH
P0004,芒,克,zh,male,yes,1969,unknown,PL0022,1950,,姜世伟,zh,PL0020,,,,SS00011,75f 79f,SS00115,183ff,,,,,2017-07-05,LH,2018-01-25,WH
P0005,Peng,Gang,en,male,unknown,NULL,NULL,NULL,1952,,,,PL0002,,,,SS00011,79,SS00115,183ff,,,,Third source: http://comment.artron.net/20080926/n59465.html,2017-07-05,LH,2018-03-13,WH
P0005,彭,刚,zh,male,unknown,NULL,NULL,NULL,1952,,,,PL0002,,,,SS00011,79,SS00115,183ff,,,,Third source: http://comment.artron.net/20080926/n59465.html,2017-07-05,LH,2018-03-13,WH
P0006,Tan,Xiaochun,en,unknown,unknown,NULL,NULL,NULL,,,,,,,,,SS00115,183ff,SS00114,,,,,,2017-07-05,LH,2018-03-13,WH
P0006,谭,晓春,zh,unknown,unknown,NULL,NULL,NULL,,,,,,,,,SS00115,183ff,SS00114,,,,,The name “谭小春” was presumably a typo in the SS00115. So we choose the name with “晓” to represent this person.,2017-07-05,LH,2019-05-24,WH
P0007,Cheng,Chuan,en,unknown,unknown,NULL,NULL,NULL,,,,,,,,,SS00115,183ff,,,,,,,2017-07-05,LH,2018-02-07,WH
P0007,呈,川,zh,unknown,unknown,NULL,NULL,NULL,,,,,,,,,SS00115,183ff,,,,,,,2017-07-05,LH,2018-02-07,WH
P0008,Lu,Zhongnan,en,male,yes,1969,unknown,PL0022,1950,,,,PL0185,,,,SS00115,188,https://baike.baidu.com/item/%E5%8D%A2%E4%B8%AD%E5%8D%97,,,,,,2017-07-05,LH,2018-03-13,WH
P0008,卢,中南,zh,male,yes,1969,unknown,PL0022,1950,,,,PL0185,,,,SS00115,188,https://baike.baidu.com/item/%E5%8D%A2%E4%B8%AD%E5%8D%97,,,,,,2017-07-05,LH,2018-03-13,WH
P0009,Bei,Dao,en,male,no,NULL,NULL,NULL,1949,,Zhao Zhenkai,en,PL0002,,,yes,SS00011,78 80,SS00115,188,,,,Third source: https://baike.baidu.com/item/%E5%8C%97%E5%B2%9B/372#reference-[7]-4995327-wrap,2017-07-05,LH,2018-10-25,DP
P0009,北,岛,zh,male,no,NULL,NULL,NULL,1949,,赵振开,zh,PL0002,,,yes,SS00011,78 80,SS00115,188,,,,Third source: https://baike.baidu.com/item/%E5%8C%97%E5%B2%9B/372#reference-[7]-4995327-wrap,2017-07-05,LH,2018-10-25,DP
P0010,Duo,Duo,en,male,yes,1969,unknown,PL0022,1951,,Li Shizheng,en,PL0002,,,,SS00011,75-77,SS00115,188,,,,,2017-07-05,LH,2018-01-25,WH
P0010,多,多,zh,male,yes,1969,unknown,PL0022,1951,,栗世征,zh,PL0002,,,,SS00011,75-77,SS00115,188,,,,,2017-07-05,LH,2018-01-25,WH
P0011,Xu,Haoyuan,en,female,yes,1968,unknown,PL0135,1949,,,,PL0139,,,,SS00011,76f 80,SS00115,190,,,,Third source: SS00238 (Place of Rustication: PL0022?),2017-07-05,LH,2018-02-27,MG
P0011,徐,浩渊,zh,female,yes,1968,unknown,PL0135,1949,,,,PL0139,,,,SS00011,76f 80,SS00115,190,,,,Third source: SS00238 (Place of Rustication: PL0022?),2017-07-05,LH,2018-02-27,MG
P0012,Genzi,,en,male,yes,1969,1972,PL0022,1951,,Yue Chong,en,PL0002,S03,,yes,SS00011,75 80,SS00114,196,,,,,2017-07-05,LH,2018-01-16,OS
P0012,根子,,zh,male,yes,1969,1972,PL0022,1951,,岳重,zh,PL0002,S03,,yes,SS00011,75 80,SS00114,196,,,,,2017-07-05,LH,2018-01-16,OS
P0013,Ma,Desheng,en,male,unknown,NULL,NULL,NULL,1952,,,,PL0002,,,,SS00115,191,,,,,,,2017-07-05,LH,2018-02-07,WH
P0013,马,德升,zh,male,unknown,NULL,NULL,NULL,1952,,,,PL0002,,,,SS00115,191,,,,,,,2017-07-05,LH,2018-02-07,WH
