!,,,,,,,,,,,,+++,,,,,,+++,+++,+++,,,,,
@@,person_id,family_name,first_name,name_lang,sex,rustication,birthyear,deathyear,alt_name,place_of_birth,social_position,narrative_age,neibu_access,source_1,page_1,source_2,page_2,fictionality,narrative_status,commentary,note,created,created_by,last_modified,last_modified_by
...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,AG0061,叶,华,zh,female,0,1911,2001,,SP0197,,,,W0440,,https://en.wikipedia.org/wiki/Eva_Sandberg_Xiao,,,,,Third source: https://zh.wikipedia.org/wiki/%E5%8F%B6%E5%8D%8E_(%E8%90%A7%E4%B8%89%E5%A4%AB%E4%BA%BA),2017-07-05,LH,2020-04-02,DP
+++,P0063,Nanchu,,en,female,yes,1953,,,,,,yes,SS00003,196f,https://viaf.org/viaf/263815550/,,,,,"DP: this is an en pen-name by an expat living in the US, no translations or authoritative sources for transliteration are available",2017-07-05,LH,2018-08-20,DP
+++,P0063,Nanchu,,zh,female,yes,1953,,,,,,yes,SS00003,196f,https://viaf.org/viaf/263815550/,,,,,"DP: this is an en pen-name by an expat living in the US, no translations or authoritative sources for transliteration are available",2017-07-05,LH,2018-08-20,DP
,AG0063,Gao,Yuan,en,male,3,1952,XXXX,,SP0335,,,,W0451,5ff.,,,,,,Could not exactly locate Shuiyuan. Somewhere close to the Taihang mountains.,2017-07-05,LH,2020-04-02,DP
...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,AG0147,凌老师,,zh,female,0,XXXX,XXXX,,SP0436,,,,W0420,136?,,,,,worked in the reference department of Jiangsu Provincial Song and Dance Troupe,,2017-10-03,MG,2020-04-02,DP
+++,P0172,anon,Zhenzhen,en,unknown,NULL,,,,,,,,http://none,,,,,,,CHECK GENDER,2017-10-03,MG,2018-11-01,MG
,AG0149,Liu,Nina,en,female,3,XXXX,XXXX,,SP0436,,,,W0420,137,,,,,,,2017-10-03,MG,2020-04-02,DP
...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,AG0199,Trotsky,Leon,en,male,0,1879,1940,,SP0130,,,,https://en.wikipedia.org/wiki/Leon_Trotsky,ONLINE Source,,,,,,,2018-02-01,OS,2020-04-02,DP
+++,P0223,Троцкий,Лев,ru,male,NULL,1879,1940,NULL,PL0128,NULL,,NULL,https://en.wikipedia.org/wiki/Leon_Trotsky,ONLINE Source,,,,,,,2018-02-01,OS,2018-02-01,OS
+++,P0223,托洛茨基,列夫,zh,male,NULL,1879,1940,NULL,PL0128,NULL,,NULL,https://en.wikipedia.org/wiki/Leon_Trotsky,ONLINE Source,,,,,,,2018-02-01,OS,2018-02-01,OS
,AG0200,Bukharin,Nikolai,en,male,0,1888,1938,,SP0030,,,,https://en.wikipedia.org/wiki/Nikolai_Bukharin,ONLINE Source,,,,,,,2018-02-01,OS,2020-04-02,DP
...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,AG0296,Zhu,Qiluan,en,male,2,1914,1990,,SP0226,,,,W0513,5,,,,,,,2018-04-03,MG,2020-04-02,DP
+++,P0334,朱,,zh,male,no,1914,1990,NULL,PL0239,NULL,,NULL,SS00269,5,,,,,,,2018-04-03,MG,2018-04-03,MG
